Outcome	Beta (per 1 log unit, 95% CI)	p-value	Adjusted R²
dCC	0.011 (0.008 to 0.013)	<0.001	0.219
dlogJ_mean	-0.002 (-0.003 to -0.002)	<0.001	0.095
