Metric	MNI152 (mean ± SD)	EBT (mean ± SD)	Δ (95% CI)	p (paired t-test)	p (Holm)
CC (subject-derived mask)	0.727 ± 0.060	0.782 ± 0.038	0.056 (0.052 to 0.059)	<0.001	<0.001
Gradient-CC (subject-derived mask)	0.528 ± 0.093	0.552 ± 0.048	0.024 (0.017 to 0.031)	<0.001	<0.001
